,Brand,Price,History,Owner,Kilometers,Fuel_Type,Last_service,Transmission,Registration,Insurance,Year of Manufacturing
127,2018 Maruti Alto 800 LXI MANUAL,"₹ 3,24,999",Non-Accidental,1st Owner,"13,291 km",Petrol,Petrol,MANUAL,HR-26-x-xxxx,"Valid upto Jan 2022
Comp",-
128,2014 Maruti Swift VXI MANUAL,"₹ 3,93,099",Non-Accidental,1st Owner,"24,708 km",Petrol,Petrol,MANUAL,DL-9C-x-xxxx,"Valid upto Sep 2022
3rd Party",-
129,2014 Hyundai Eon D LITE PLUS MANUAL,"₹ 1,90,000",Non-Accidental,1st Owner,"26,245 km",Petrol,Petrol,DL-8C-x-xxxx,"Valid upto Sep 2022
3rd Party",January 2014,-
130,2016 Hyundai Eon D LITE PLUS MANUAL,"₹ 2,08,399",Non-Accidental,1st Owner,"47,215 km",Petrol,Petrol,MANUAL,HR-51-x-xxxx,"Valid upto Sep 2022
3rd Party",-
131,2011 Maruti Alto LXI MANUAL,"₹ 1,38,000",Non-Accidental,2nd Owner,"44,419 km",Petrol,Petrol,UP-13-x-xxxx,"Valid upto Sep 2022
3rd Party",February 2011,-
132,-,"₹ 2,43,899",Non-Accidental,1st Owner,"41,853 km",Petrol,Petrol,MANUAL,UP-14-x-xxxx,"Valid upto Sep 2022
3rd Party",-
133,2010 Maruti Ritz LXI MANUAL,"₹ 2,24,199",Non-Accidental,1st Owner,"26,740 km",Petrol,Petrol,MANUAL,DL-9C-x-xxxx,"Valid upto Sep 2022
3rd Party",-
134,2020 Renault Kwid 1.0 RXT Opt MANUAL,"₹ 4,11,999",Non-Accidental,1st Owner,"4,415 km",Petrol,Petrol,MANUAL,DL-9C-x-xxxx,"Valid upto Jul 2022
Zero_Dep",-
135,2020 Hyundai Elite i20 1.2 MAGNA PLUS VTVT MANUAL,"₹ 6,31,499",Non-Accidental,1st Owner,"16,962 km",Petrol,Petrol,HR-72-x-xxxx,"Valid upto Jun 2023
Third_party",March 2020,-
136,2014 Hyundai Grand i10 SPORTS 1.2 VTVT MANUAL,"₹ 3,61,699",Non-Accidental,1st Owner,"22,836 km",Petrol,Petrol,MANUAL,UP-16-x-xxxx,"Valid upto Sep 2022
3rd Party",-
137,2013 Volkswagen Polo COMFORTLINE 1.2L PETROL MANUAL,"₹ 3,14,599",Non-Accidental,1st Owner,"43,144 km",Petrol,Petrol,MANUAL,DL-8C-x-xxxx,"Valid upto Sep 2022
3rd Party",-
138,2012 Honda City V MT PETROL MANUAL,"₹ 3,57,000",Non-Accidental,2nd Owner,"55,376 km",Petrol,Petrol,DL-13-x-xxxx,"Valid upto Sep 2022
3rd Party",January 2012,-
139,2011 Honda City S MT PETROL MANUAL,"₹ 3,56,999",Non-Accidental,1st Owner,"56,073 km",Petrol,Petrol,MANUAL,DL-3C-x-xxxx,"Valid upto Jan 2022
Third_party",-
140,2018 Maruti Alto 800 LXI MANUAL,"₹ 3,07,299",Non-Accidental,1st Owner,"5,851 km",Petrol,Petrol,MANUAL,DL-8C-x-xxxx,"Valid upto Dec 2021
Third Party",-
141,2012 Maruti Swift Dzire VDI BS IV MANUAL,"₹ 3,02,599",Non-Accidental,1st Owner,"48,390 km",Diesel,Diesel,MANUAL,DL-4C-x-xxxx,"Valid upto Sep 2022
3rd Party",-
142,2015 Hyundai Elite i20 SPORTZ (O) 1.4 MANUAL,"₹ 5,06,199",Non-Accidental,2nd Owner,"58,080 km",Diesel,Diesel,DL-7C-x-xxxx,"Valid upto Sep 2022
3rd Party",February 2015,-
143,2010 Maruti Alto LXI MANUAL,"₹ 1,48,099",Non-Accidental,1st Owner,"48,254 km",Petrol,Petrol,DL-1C-x-xxxx,"Valid upto Sep 2022
3rd Party",May 2010,-
144,2012 Maruti Alto K10 LXI MANUAL,"₹ 2,10,799",Non-Accidental,1st Owner,"33,175 km",Petrol,Petrol,MANUAL,DL-7C-x-xxxx,"Valid upto Sep 2022
3rd Party",-
145,2010 Maruti Alto LXI MANUAL,"₹ 1,46,699",Non-Accidental,2nd Owner,"56,231 km",Petrol,Petrol,MANUAL,UP-15-x-xxxx,"Valid upto Sep 2022
3rd Party",-
146,2013 Maruti Alto 800 VXI MANUAL,"₹ 2,10,599",Non-Accidental,1st Owner,"46,286 km",Petrol,Petrol,DL-8C-x-xxxx,"Valid upto Feb 2022
Comp",January 2013,-
147,2015 Maruti Swift LXI OPT MANUAL,"₹ 3,81,999",Non-Accidental,1st Owner,"34,854 km",Petrol,Petrol,MANUAL,DL-5C-x-xxxx,"Valid upto Feb 2022
Comp",-
148,2012 Maruti Swift Dzire VDI BS IV MANUAL,"₹ 3,32,799",Non-Accidental,2nd Owner,"42,478 km",Diesel,Diesel,MANUAL,DL-9C-x-xxxx,"Valid upto Sep 2022
3rd Party",-
149,2014 Hyundai Eon ERA PLUS MANUAL,"₹ 2,06,399",Non-Accidental,2nd Owner,"40,438 km",Petrol,Petrol,MANUAL,DL-10-x-xxxx,"Valid upto Sep 2022
3rd Party",-
150,2020 Maruti S PRESSO VXI MANUAL,"₹ 4,06,899",Non-Accidental,1st Owner,"6,100 km",Petrol,Petrol,DL-9C-x-xxxx,"Valid upto Sep 2022
3rd Party",October 2020,-
151,2018 Maruti Alto 800 LXI MANUAL,"₹ 3,21,399",Non-Accidental,1st Owner,"11,961 km",Petrol,Petrol,DL-8C-x-xxxx,"Valid upto Jul 2022
Zero_Dep",June 2018,-
152,2020 KIA SELTOS HTK 1.5 PETROL MANUAL,"₹ 10,81,299",Non-Accidental,2nd Owner,"4,968 km",Petrol,Petrol,MANUAL,HR-26-x-xxxx,"Valid upto May 2022
Third_party",-
153,2018 Hyundai Elite i20 Magna Executive 1.2 MANUAL,"₹ 5,63,399",Non-Accidental,1st Owner,"5,937 km",Petrol,Petrol,MANUAL,DL-5C-x-xxxx,"Valid upto Sep 2022
3rd Party",-
154,2019 Maruti Swift LXI MANUAL,"₹ 5,16,000",Non-Accidental,1st Owner,"8,362 km",Petrol,Petrol,DL-3C-x-xxxx,"Valid upto Sep 2022
3rd Party",July 2019,-
155,2017 Maruti Celerio ZXI AMT AUTOMATIC,"₹ 3,89,999",Non-Accidental,2nd Owner,"41,914 km",Petrol,Petrol,AUTOMATIC,DL-1C-x-xxxx,"Valid upto Sep 2022
3rd Party",-
156,2015 Maruti Swift VXI MANUAL,"₹ 3,86,599",Non-Accidental,1st Owner,"48,615 km",Petrol,Petrol,MANUAL,UP-14-x-xxxx,"Valid upto Sep 2022
3rd Party",-
157,2020 Maruti Alto LXI MANUAL,"₹ 3,36,799",Non-Accidental,1st Owner,"11,558 km",Petrol,Petrol,DL-3C-x-xxxx,"Valid upto Jun 2022
Zero_Dep",March 2020,-
158,2019 Tata Tiago XT 1.2 REVOTRON MANUAL,"₹ 4,40,399",Non-Accidental,1st Owner,"32,535 km",Petrol,Petrol,HR-51-x-xxxx,"Valid upto May 2022
Third_party",January 2019,-
159,2013 Maruti Ritz VXI BS IV MANUAL,"₹ 2,62,199",Non-Accidental,2nd Owner,"36,846 km",Petrol,Petrol,MANUAL,DL-13-x-xxxx,"Valid upto Sep 2022
3rd Party",-
160,2012 Toyota Etios Liva G SP MANUAL,"₹ 2,91,699",Non-Accidental,2nd Owner,"31,240 km",Petrol,Petrol,MANUAL,DL-10-x-xxxx,"Valid upto Jan 2022
Comp",-
161,2016 Maruti Alto K10 VXI OPT MANUAL,"₹ 3,05,699",Non-Accidental,1st Owner,"31,430 km",Petrol,Petrol,MANUAL,UP-16-x-xxxx,"Valid upto Sep 2022
3rd Party",-
162,2018 Datsun Redi Go 1.0 S AT MANUAL,"₹ 3,59,199",Non-Accidental,1st Owner,"23,791 km",Petrol,Petrol,HR-51-x-xxxx,"Valid upto Sep 2022
3rd Party",July 2018,-
163,2015 Maruti Alto 800 LXI MANUAL,"₹ 2,26,699",Non-Accidental,2nd Owner,"26,525 km",Petrol,Petrol,MANUAL,DL-2C-x-xxxx,"Valid upto Sep 2022
3rd Party",-
164,2018 Maruti Alto 800 LXI MANUAL,"₹ 2,99,499",Non-Accidental,1st Owner,"19,405 km",Petrol,Petrol,UP-14-x-xxxx,"Valid upto Sep 2022
3rd Party",August 2018,-
165,2016 Renault Kwid RXT MANUAL,"₹ 2,10,499",Non-Accidental,2nd Owner,"27,806 km",Petrol,Petrol,MANUAL,DL-8C-x-xxxx,"Valid upto Sep 2022
3rd Party",-
166,2012 Maruti Alto K10 LXI MANUAL,"₹ 1,88,000",Non-Accidental,1st Owner,"50,067 km",Petrol,Petrol,DL-2C-x-xxxx,"Valid upto Sep 2022
3rd Party",February 2012,-
167,2018 Maruti Alto 800 LXI MANUAL,"₹ 3,14,299",Non-Accidental,1st Owner,"20,589 km",Petrol,Petrol,UP-67-x-xxxx,"Valid upto Sep 2022
3rd Party",April 2018,-
168,2011 Maruti Alto K10 VXI MANUAL,"₹ 1,61,399",Non-Accidental,2nd Owner,"64,499 km",Petrol,Petrol,MANUAL,DL-3C-x-xxxx,"Valid upto Sep 2022
3rd Party",-
169,2013 Maruti Swift VDI MANUAL,"₹ 2,90,199",Non-Accidental,1st Owner,"39,124 km",Diesel,Diesel,MANUAL,DL-1C-x-xxxx,"Valid upto Sep 2022
3rd Party",-
170,2020 Tata Tiago XT 1.2 REVOTRON MANUAL,"₹ 5,05,399",Non-Accidental,1st Owner,"9,678 km",Petrol,Petrol,HR-87-x-xxxx,"Valid upto Sep 2022
3rd Party",July 2020,-
171,2013 Maruti Swift Dzire VXI 1.2 BS IV MANUAL,"₹ 3,64,000",Non-Accidental,1st Owner,"34,878 km",Petrol,Petrol,DL-8C-x-xxxx,"Valid upto Sep 2022
3rd Party",January 2013,-
172,2012 Maruti Swift Dzire VDI BS IV MANUAL,"₹ 3,06,899",Non-Accidental,1st Owner,"49,120 km",Diesel,Diesel,MANUAL,DL-3C-x-xxxx,"Valid upto Sep 2022
3rd Party",-
173,2018 Renault Kwid RXL MANUAL,"₹ 3,14,399",Non-Accidental,1st Owner,"11,978 km",Petrol,Petrol,MANUAL,HR-29-x-xxxx,"Valid upto Feb 2022
Zero_Dep",-
174,2016 Renault Kwid RXT 1.0 EASY-R AT,"₹ 3,25,000",Non-Accidental,1st Owner,"11,123 km",Petrol,Petrol,UP-16-x-xxxx,"Valid upto Sep 2022
3rd Party",June 2016,-
175,2018 Maruti IGNIS DELTA 1.2 K12 MANUAL,"₹ 4,18,099",Non-Accidental,2nd Owner,"30,591 km",Petrol,Petrol,MANUAL,HR-51-x-xxxx,"Valid upto Jan 2022
Comp",-
176,2016 Maruti Alto 800 LXI MANUAL,"₹ 2,83,699",Non-Accidental,1st Owner,"30,140 km",Petrol,Petrol,MANUAL,UP-16-x-xxxx,"Valid upto Sep 2022
3rd Party",-
177,2013 Honda City V MT PETROL MANUAL,"₹ 4,01,699",Non-Accidental,2nd Owner,"40,028 km",Petrol,Petrol,MANUAL,DL-3C-x-xxxx,"Valid upto Sep 2022
3rd Party",-
178,2009 Maruti Alto LXI MANUAL,"₹ 1,43,799",Non-Accidental,1st Owner,"35,919 km",Petrol,Petrol,MANUAL,DL-2C-x-xxxx,"Valid upto Feb 2022
Comp",-
179,2020 KIA SONET GTX PLUS DCT 1.0 AUTOMATIC,"₹ 12,44,899",Non-Accidental,1st Owner,"3,421 km",Petrol,Petrol,AUTOMATIC,CH-01-x-xxxx,"Valid upto Sep 2022
3rd Party",-
180,2015 Honda Amaze 1.5 SMT I DTEC MANUAL,"₹ 3,45,899",Non-Accidental,1st Owner,"40,776 km",Diesel,Diesel,MANUAL,HR-51-x-xxxx,"Valid upto Sep 2022
3rd Party",-
181,2010 Honda City S MT PETROL MANUAL,"₹ 3,32,599",Non-Accidental,1st Owner,"62,808 km",Petrol,Petrol,MANUAL,HR-26-x-xxxx,"Valid upto Sep 2022
3rd Party",-
182,2019 Maruti Baleno DELTA 1.2 K12 MANUAL,"₹ 5,92,599",Non-Accidental,1st Owner,"14,295 km",Petrol,Petrol,MANUAL,UP-16-x-xxxx,"Valid upto Apr 2022
Zero_Dep",-
183,2014 Honda Brio 1.2 S MT I VTEC MANUAL,"₹ 3,02,999",Non-Accidental,2nd Owner,"39,412 km",Petrol,Petrol,UP-16-x-xxxx,"Valid upto Jun 2022
Third Party",April 2014,-
184,2013 Maruti Swift Dzire VDI BS IV MANUAL,"₹ 3,47,799",Non-Accidental,1st Owner,"39,947 km",Diesel,Diesel,MANUAL,DL-13-x-xxxx,"Valid upto Dec 2021
Comp",-
185,2017 Renault Kwid RXL1.0 EASY-R AT,"₹ 3,01,799",Non-Accidental,1st Owner,"32,258 km",Petrol,Petrol,NA,DL-8C-x-xxxx,"Valid upto Sep 2022
3rd Party",-
186,2009 Maruti A Star LXI MANUAL,"₹ 1,47,899",Non-Accidental,1st Owner,"30,403 km",Petrol,Petrol,MANUAL,DL-9C-x-xxxx,"Valid upto Sep 2022
3rd Party",-
187,2017 Maruti IGNIS ZETA 1.2 K12 MANUAL,"₹ 4,66,999",Non-Accidental,1st Owner,"17,466 km",Petrol,Petrol,DL-7C-x-xxxx,"Valid upto Sep 2022
3rd Party",January 2017,-
188,2010 Maruti Ritz LXI MANUAL,"₹ 2,39,199",Non-Accidental,1st Owner,"54,953 km",Petrol,Petrol,MANUAL,DL-8C-x-xxxx,"Valid upto Sep 2022
3rd Party",-
189,2010 Maruti Alto LXI MANUAL,"₹ 1,64,599",Non-Accidental,1st Owner,"41,508 km",Petrol,Petrol,MANUAL,DL-9C-x-xxxx,"Valid upto Sep 2022
3rd Party",-
190,2018 Maruti Swift LXI MANUAL,"₹ 4,91,099",Non-Accidental,1st Owner,"20,380 km",Petrol,Petrol,HR-10-x-xxxx,"Valid upto Jun 2022
Zero_Dep",June 2018,-
191,2017 Hyundai Grand i10 SPORTS 1.2 VTVT MANUAL,"₹ 4,50,000",Non-Accidental,1st Owner,"22,455 km",Petrol,Petrol,DL-5C-x-xxxx,"Valid upto Sep 2022
3rd Party",March 2017,-
192,2012 Maruti Swift ZXI MANUAL,"₹ 4,16,599",Non-Accidental,1st Owner,"15,538 km",Petrol,Petrol,MANUAL,DL-6C-x-xxxx,"Valid upto Sep 2022
3rd Party",-
193,2019 Hyundai NEW SANTRO 1.1 SPORTS AMT MANUAL,"₹ 4,98,499",Non-Accidental,1st Owner,"1,571 km",Petrol,Petrol,DL-10-x-xxxx,"Valid upto Sep 2022
3rd Party",April 2019,-
194,2020 Maruti Swift LXI MANUAL,"₹ 5,42,599",Non-Accidental,1st Owner,"6,623 km",Petrol,Petrol,MANUAL,HR-26-x-xxxx,"Valid upto Feb 2022
Zero_Dep",-
195,2015 Renault Kwid RXL MANUAL,"₹ 2,15,000",Non-Accidental,1st Owner,"32,879 km",Petrol,Petrol,DL-8C-x-xxxx,"Valid upto Apr 2022
Third_party",December 2015,-
196,2013 Maruti Alto 800 LXI MANUAL,"₹ 1,87,199",Non-Accidental,1st Owner,"41,465 km",Petrol,Petrol,MANUAL,DL-2C-x-xxxx,"Valid upto Sep 2022
3rd Party",-
197,2017 Maruti Alto 800 LXI MANUAL,"₹ 2,78,899",Non-Accidental,1st Owner,"9,527 km",Petrol,Petrol,MANUAL,DL-2C-x-xxxx,"Valid upto Sep 2022
3rd Party",-
198,2011 Maruti Swift Dzire VXI 1.2 BS IV MANUAL,"₹ 2,70,099",Non-Accidental,1st Owner,"57,458 km",Petrol,Petrol,MANUAL,DL-8C-x-xxxx,"Valid upto Jan 2022
Third_party",-
199,2011 Maruti Alto K10 VXI MANUAL,"₹ 1,86,499",Non-Accidental,1st Owner,"51,523 km",Petrol,Petrol,MANUAL,DL-8C-x-xxxx,"Valid upto Sep 2022
3rd Party",-
200,2017 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT MANUAL,"₹ 4,34,599",Non-Accidental,1st Owner,"37,323 km",Petrol,Petrol,DL-1C-x-xxxx,"Valid upto Sep 2022
3rd Party",August 2017,-
201,2018 Maruti Alto 800 LXI MANUAL,"₹ 3,15,000",Non-Accidental,1st Owner,"13,074 km",Petrol,Petrol,DL-5C-x-xxxx,"Valid upto Sep 2022
3rd Party",December 2018,-
202,2015 Honda Jazz 1.2 V AT AUTOMATIC,"₹ 5,23,199",Non-Accidental,1st Owner,"33,701 km",Petrol,Petrol,AUTOMATIC,DL-3C-x-xxxx,"Valid upto Jan 2022
Zero_Dep",-
203,2016 Renault Kwid RXT MANUAL,"₹ 2,51,199",Non-Accidental,1st Owner,"42,466 km",Petrol,Petrol,MANUAL,HR-29-x-xxxx,"Valid upto Sep 2022
3rd Party",-
204,2017 Hyundai Elite i20 Magna Executive 1.2 MANUAL,"₹ 5,10,199",Non-Accidental,1st Owner,"18,213 km",Petrol,Petrol,DL-8C-x-xxxx,"Valid upto Dec 2021
Zero_Dep",December 2017,-
205,2015 Maruti Baleno ZETA 1.2 K12 MANUAL,"₹ 5,25,000",Non-Accidental,1st Owner,"14,807 km",Petrol,Petrol,HR-29-x-xxxx,"Valid upto Sep 2022
3rd Party",December 2015,-
206,2019 Hyundai Grand i10 SPORTS 1.2 VTVT MANUAL,"₹ 5,25,000",Non-Accidental,1st Owner,"11,558 km",Petrol,Petrol,DL-1C-x-xxxx,"Valid upto Sep 2022
Comprehensive",August 2019,-
207,2012 Honda Jazz 1.2 X I VTEC MANUAL,"₹ 3,02,799",Non-Accidental,2nd Owner,"32,514 km",Petrol,Petrol,MANUAL,UP-16-x-xxxx,"Valid upto Sep 2022
3rd Party",-
208,2018 Maruti Alto 800 LXI MANUAL,"₹ 2,77,499",Non-Accidental,2nd Owner,"16,323 km",Petrol,Petrol,MANUAL,HR-51-x-xxxx,"Valid upto Sep 2022
3rd Party",-
209,2013 Maruti Swift LXI MANUAL,"₹ 2,94,599",Non-Accidental,3rd Owner,"43,265 km",Petrol,Petrol,MANUAL,DL-2C-x-xxxx,"Valid upto Mar 2022
Comp",-
210,2016 Maruti Ciaz VDI+ SHVS MANUAL,"₹ 6,00,000",Non-Accidental,1st Owner,"26,477 km",Diesel,Diesel,DL-6C-x-xxxx,"Valid upto Sep 2022
3rd Party",January 2016,-
211,2010 Hyundai i10 MAGNA 1.2 KAPPA2 MANUAL,"₹ 1,92,599",Non-Accidental,1st Owner,"47,870 km",Petrol,Petrol,MANUAL,HR-26-x-xxxx,"Valid upto Dec 2021
Third Party",-
212,2013 Maruti Swift VXI MANUAL,"₹ 3,10,699",Non-Accidental,1st Owner,"45,589 km",Petrol,Petrol,MANUAL,DL-12-x-xxxx,"Valid upto Sep 2022
3rd Party",-
213,2019 Maruti Alto LXI MANUAL,"₹ 3,29,000",Non-Accidental,1st Owner,"10,554 km",Petrol,Petrol,DL-1C-x-xxxx,"Valid upto Sep 2022
3rd Party",April 2019,-
214,2015 Maruti Wagon R 1.0 LXI MANUAL,"₹ 2,81,000",Non-Accidental,1st Owner,"38,833 km",Petrol,Petrol,DL-2C-x-xxxx,"Valid upto Sep 2022
3rd Party",January 2015,-
215,2017 Hyundai Grand i10 SPORTZ O 1.2 MANUAL,"₹ 5,05,000",Non-Accidental,1st Owner,"8,055 km",Petrol,Petrol,DL-5C-x-xxxx,"Valid upto Sep 2022
3rd Party",August 2017,-
216,2012 Maruti Alto 800 LXI MANUAL,"₹ 1,85,000",Non-Accidental,1st Owner,"58,918 km",Petrol,Petrol,HR-36-x-xxxx,"Valid upto Sep 2022
3rd Party",June 2012,-
217,2012 Maruti Swift VDI MANUAL,"₹ 3,08,399",Non-Accidental,1st Owner,"35,969 km",Diesel,Diesel,MANUAL,DL-3C-x-xxxx,"Valid upto Sep 2022
3rd Party",-
218,2017 Volkswagen Ameo TRENDLINE 1.2 MANUAL,"₹ 3,99,899",Non-Accidental,2nd Owner,"39,930 km",Petrol,Petrol,MANUAL,DL-8C-x-xxxx,"Valid upto Sep 2022
3rd Party",-
219,2010 Maruti Wagon R 1.0 LXI MANUAL,"₹ 1,61,999",Non-Accidental,1st Owner,"5,78,889 km",Petrol,Petrol,MANUAL,DL-1C-x-xxxx,"Valid upto Sep 2022
3rd Party",-
220,2018 Hyundai Grand i10 MAGNA 1.2 VTVT MANUAL,"₹ 4,87,699",Non-Accidental,1st Owner,"16,558 km",Petrol,Petrol,HR-26-x-xxxx,"Valid upto Sep 2022
3rd Party",April 2018,-
221,-,"₹ 1,79,799",Non-Accidental,2nd Owner,"57,489 km",Petrol,Petrol,MANUAL,DL-3C-x-xxxx,"Valid upto Mar 2022
Comp",-
222,-,"₹ 2,79,999",Non-Accidental,1st Owner,"20,128 km",Petrol,Petrol,MANUAL,DL-6C-x-xxxx,"Valid upto Sep 2022
3rd Party",-
223,2016 Maruti Baleno ZETA 1.2 K12 MANUAL,"₹ 5,11,399",Non-Accidental,1st Owner,"33,427 km",Petrol,Petrol,MANUAL,DL-9C-x-xxxx,"Valid upto Sep 2022
3rd Party",-
224,2012 Maruti Swift Dzire VDI BS IV MANUAL,"₹ 3,01,699",Non-Accidental,1st Owner,"61,164 km",Diesel,Diesel,MANUAL,DL-2C-x-xxxx,"Valid upto Sep 2022
3rd Party",-
225,2018 Honda Amaze 1.2 SAT I VTEC AUTOMATIC,"₹ 6,29,299",Non-Accidental,1st Owner,"1,816 km",Petrol,Petrol,AUTOMATIC,DL-8C-x-xxxx,"Valid upto Sep 2022
3rd Party",-
226,2015 Maruti Swift VDI ABS MANUAL,"₹ 4,26,599",Non-Accidental,1st Owner,"27,735 km",Diesel,Diesel,MANUAL,DL-2C-x-xxxx,"Valid upto Sep 2022
3rd Party",-
227,2012 Maruti Swift VDI MANUAL,"₹ 3,04,999",Non-Accidental,1st Owner,"30,589 km",Diesel,Diesel,MANUAL,DL-6C-x-xxxx,"Valid upto Sep 2022
3rd Party",-
228,2020 Toyota Glanza G MT PETROL MANUAL,"₹ 7,02,499",Non-Accidental,1st Owner,"12,870 km",Petrol,Petrol,MANUAL,UP-16-x-xxxx,"Valid upto Mar 2022
Zero_Dep",-
229,2016 Volkswagen Polo COMFORTLINE 1.2L PETROL MANUAL,"₹ 4,61,000",Non-Accidental,1st Owner,"30,278 km",Petrol,Petrol,UP-16-x-xxxx,"Valid upto Sep 2022
3rd Party",January 2016,-
230,2018 Datsun Redi Go 1.0 S AT,"₹ 3,38,199",Non-Accidental,1st Owner,"21,341 km",Petrol,Petrol,NA,DL-14-x-xxxx,"Valid upto Sep 2022
3rd Party",-
231,2016 Hyundai Grand i10 MAGNA 1.2 VTVT MANUAL,"₹ 3,51,499",Non-Accidental,2nd Owner,"34,013 km",Petrol,Petrol,MANUAL,DL-8C-x-xxxx,"Valid upto Jan 2022
Comp",-
232,2016 Renault Kwid RXT MANUAL,"₹ 2,34,099",Non-Accidental,3rd Owner,"40,124 km",Petrol,Petrol,MANUAL,DL-1C-x-xxxx,"Valid upto Sep 2022
3rd Party",-
233,2017 Maruti Baleno DELTA 1.2 K12 MANUAL,"₹ 5,03,299",Non-Accidental,2nd Owner,"12,117 km",Petrol,Petrol,MANUAL,DL-6C-x-xxxx,"Valid upto Sep 2022
Comp",-
234,2019 Maruti Alto K10 VXI MANUAL,"₹ 3,41,699",Non-Accidental,2nd Owner,"13,026 km",Petrol,Petrol,MANUAL,UP-14-x-xxxx,"Valid upto Sep 2022
3rd Party",-
235,2020 Maruti Alto LXI MANUAL,"₹ 3,69,699",Non-Accidental,1st Owner,"11,520 km",Petrol,Petrol,UP-14-x-xxxx,"Valid upto May 2022
Zero_Dep",January 2020,-
236,2017 Hyundai Grand i10 ASTA 1.2 KAPPA VTVT MANUAL,"₹ 4,65,799",Non-Accidental,1st Owner,"24,571 km",Petrol,Petrol,DL-8C-x-xxxx,"Valid upto Mar 2022
Zero_Dep",March 2017,-
237,2013 Renault Duster 85 PS RXL MANUAL,"₹ 4,25,000",Non-Accidental,1st Owner,"41,160 km",Diesel,Diesel,DL-8C-x-xxxx,"Valid upto Sep 2022
3rd Party",January 2013,-
238,2014 Hyundai Verna FLUIDIC 1.4 CRDI CX MANUAL,"₹ 4,98,399",Non-Accidental,2nd Owner,"44,585 km",Diesel,Diesel,DL-3F-x-xxxx,"Valid upto Apr 2022
Comp",April 2014,-
239,2015 Hyundai Grand i10 MAGNA 1.2 VTVT MANUAL,"₹ 3,75,000",Non-Accidental,1st Owner,"41,994 km",Petrol,Petrol,DL-7C-x-xxxx,"Valid upto Sep 2022
3rd Party",August 2015,-
240,2015 Hyundai Elite i20 ASTA 1.2 MANUAL,"₹ 5,06,499",Non-Accidental,1st Owner,"33,602 km",Petrol,Petrol,MANUAL,DL-8C-x-xxxx,"Valid upto Jan 2022
Third Party",-
241,2018 Maruti Baleno DELTA 1.2 K12 MANUAL,"₹ 5,46,699",Non-Accidental,1st Owner,"16,170 km",Petrol,Petrol,MANUAL,DL-4C-x-xxxx,"Valid upto Sep 2022
3rd Party",-
242,2019 Maruti Baleno DELTA 1.2 K12 MANUAL,"₹ 6,45,699",Non-Accidental,1st Owner,"3,947 km",Petrol,Petrol,MANUAL,DL-6C-x-xxxx,"Valid upto Feb 2022
Zero_Dep",-
243,2018 Maruti Baleno ZETA 1.2 K12 MANUAL,"₹ 5,70,499",Non-Accidental,1st Owner,"21,740 km",Petrol,Petrol,DL-8C-x-xxxx,"Valid upto Sep 2022
3rd Party",August 2018,-
244,2020 Maruti Vitara Brezza VXI MANUAL,"₹ 8,55,000",Non-Accidental,1st Owner,"6,170 km",Petrol,Petrol,HR-26-x-xxxx,"Valid upto Sep 2022
3rd Party",July 2020,-
245,2018 Hyundai Elite i20 Magna Executive 1.2 MANUAL,"₹ 5,15,399",Non-Accidental,2nd Owner,"22,047 km",Petrol,Petrol,DL-12-x-xxxx,"Valid upto Sep 2022
3rd Party",October 2018,-
246,2017 Maruti Wagon R 1.0 VXI MANUAL,"₹ 3,70,099",Non-Accidental,1st Owner,"51,416 km",Petrol + CNG,Petrol + CNG,HR-36-x-xxxx,"Valid upto Mar 2022
Zero_Dep",March 2017,-
247,2014 Maruti Alto 800 LXI MANUAL,"₹ 2,15,499",Non-Accidental,1st Owner,"31,745 km",Petrol,Petrol,MANUAL,DL-3C-x-xxxx,"Valid upto Jan 2022
Comp",-
248,2015 Maruti Alto K10 LXI MANUAL,"₹ 2,73,000",Non-Accidental,1st Owner,"36,764 km",Petrol,Petrol,DL-9C-x-xxxx,"Valid upto Sep 2022
3rd Party",December 2015,-
249,2017 Hyundai Elite i20 ERA 1.2 MANUAL,"₹ 4,83,899",Non-Accidental,1st Owner,"24,343 km",Petrol,Petrol,MANUAL,DL-12-x-xxxx,"Valid upto Mar 2022
Third_party",-
250,2020 Maruti Ciaz DELTA 1.5 SHVS VVT MT MANUAL,"₹ 8,42,099",Non-Accidental,1st Owner,"6,277 km",Petrol,Petrol,MANUAL,DL-10-x-xxxx,"Valid upto Sep 2022
3rd Party",-
251,2019 Maruti Alto K10 VXI MANUAL,"₹ 3,74,099",Non-Accidental,1st Owner,"9,998 km",Petrol,Petrol,MANUAL,DL-6C-x-xxxx,"Valid upto Apr 2022
Comp",-
252,2018 Hyundai Elite i20 Magna Executive 1.2 MANUAL,"₹ 5,74,799",Non-Accidental,1st Owner,"12,481 km",Petrol,Petrol,MANUAL,DL-3C-x-xxxx,"Valid upto Sep 2022
3rd Party",-
253,2014 Maruti Ertiga VDI ABS MANUAL,"₹ 4,79,399",Non-Accidental,1st Owner,"49,692 km",Diesel,Diesel,MANUAL,UP-16-x-xxxx,"Valid upto Sep 2022
3rd Party",-
254,2016 Maruti Wagon R 1.0 VXI AMT AUTOMATIC,"₹ 3,31,299",Non-Accidental,1st Owner,"57,087 km",Petrol,Petrol,AUTOMATIC,DL-8C-x-xxxx,"Valid upto Sep 2022
3rd Party",-
